start,dur,text
1903.09,7.169,the given choices another example is the
1907.499,6.66,fourth question where it asks you to run
1910.259,6.181,a container using the Redis image if
1914.159,5.64,you're not sure of the command click on
1916.44,5.4,hints and it will show you a hint we now
1919.799,4.171,run in Redis container using the docker
1921.84,4.679,run readies command wait for the
1923.97,5.699,container to run once done click on
1926.519,4.951,check to check your work we have now
1929.669,4.14,successfully completed the task
1931.47,5.209,similarly follow along and complete all
1933.809,5.19,tasks once the lab exercise is completed
1936.679,4.38,remember to leave a feedback and let us
1938.999,5.28,know how it went a few things to note
1941.059,5.59,these are publicly accessible labs that
1944.279,5.15,anyone can access so if you catch
1946.649,6.081,yourself logged out during a peak hour
1949.429,6.58,please wait for some time and try again
1952.73,5.789,also remember to not store any private
1956.009,5.67,or confidential data on these systems
1958.519,5.5,remember that this environment is for
1961.679,4.771,learning purposes only and is only alive
1964.019,6.27,for an hour after which the lab is
1966.45,4.24,destroyed so does all your work but you
1970.289,3.071,missed
1970.69,5.64,/ and access these labs as many times as
1973.36,5.25,you want until you feel confident I will
1976.33,4.86,also post solutions to these lab quizzes
1978.61,5.46,so if you run into issues you may refer
1981.19,4.98,to those that's it for now head over to
1984.07,13.05,the first challenge and I will see you
1986.17,14.1,on the other side we will now look at
1997.12,4.56,some of the other docker run commands at
2000.27,2.97,the end of this lecture you will go
2001.68,4.29,through a hands-on quiz where you will
2003.24,5.79,practice working with these commands we
2005.97,4.95,learned that we could use the docker run
2009.03,4.41,Redis command to run the container
2010.92,4.8,running a Redis service in this case the
2013.44,6.36,latest version of Redis which happens to
2015.72,6.12,be 5.0 to 5 as of today but what if we
2019.8,4.65,want to run another version of Redis
2021.84,6,like for example and older versions say
2024.45,6.96,4.0 then you specify the version
2027.84,7.83,separated by a colon this is called a
2031.41,7.08,tag in that case docker pulls an image
2035.67,6.75,of the 4.0 version of Redis and runs
2038.49,6.6,that also notice that if you don't
2042.42,5.49,specify any tag as in the first command
2045.09,7.05,docker will consider the default tag to
2047.91,6.02,be latest latest is a tag associated to
2052.14,4.5,the latest version of that software
2053.93,6.73,which is governed by the authors of that
2056.64,6.33,software so as a user how do you find
2060.66,6.33,information about these versions and
2062.97,6.99,what is the latest at docker hub com
2066.99,5.33,look up an image and you will find all
2069.96,4.89,the supported tags in its description
2072.32,5.2,each version of the software can have
2074.85,7.17,multiple short and long tags associated
2077.52,7.5,with it as seen here in this case the
2082.02,5.27,version fight of 0.5 also has the latest
2085.02,6.45,tag on it
2087.29,7.06,let's now look at inputs I have a simple
2091.47,5.61,prompt application that when run asks
2094.35,6.29,for my name and on entering my name
2097.08,5.989,prints a welcome message if I were to
2100.64,5.399,this application and run it as a docker
2103.069,5.611,container like this it wouldn't wait for
2106.039,4.441,the prompt it just prints whatever the
2108.68,5.46,application is supposed to print on
2110.48,6.69,standard out that is because by default
2114.14,5.58,the docker container does not listen to
2117.17,5.25,a standard input even though you are
2119.72,5.549,attached to its console it is not able
2122.42,5.46,to read any input from you it doesn't
2125.269,6.391,have a terminal to read inputs from it
2127.88,5.37,runs in an own interactive mode if you'd
2131.66,4.74,like to provide your input
2133.25,5.789,you must map the standard input of your
2136.4,5.369,host to the docker container using the -
2139.039,5.371,I parameter the - I parameter is for
2141.769,6.51,interactive mode and when I input my
2144.41,5.369,name it prints the expected output but
2148.279,6.81,there is something still missing from
2149.779,8.941,this the prompt when we run the app at
2155.089,6.361,first it asked us for our name but when
2158.72,4.71,docker iced that prompt is missing even
2161.45,5.159,though it seems to have accepted my
2163.43,6.089,input that is because the application
2166.609,6.631,prompt on the terminal and we have not
2169.519,7.381,attached to the containers terminal for
2173.24,8.22,this use the - T option as well the - T
2176.9,7.74,stands for a sudo terminal so with the
2181.46,5.22,combination of - int we are now attached
2184.64,5.219,to the terminal as well as in an
2186.68,5.579,interactive mode on the container we
2189.859,5.16,will now look at port mapping or port
2192.259,4.921,publishing on containers let's go back
2195.019,4.35,to the example where we run a simple web
2197.18,4.859,application in a docker container on my
2199.369,5.19,daugher host remember the underlying
2202.039,5.82,host where docker is installed is called
2204.559,5.641,docker host or docker engine when we run
2207.859,4.5,a containerized web application it runs
2210.2,5.28,and we are able to see that the server
2212.359,5.94,is running but how does a user access my
2215.48,6.539,application as you can see my
2218.299,5.611,application is listening on port 5000 so
2222.019,6.481,I could access my application by using
2223.91,7.29,port 5000 but what IP do I use to access
2228.5,5.789,it from a web browser there are two
2231.2,5.069,options available one is to use the IP
2234.289,4.38,the docker container every docker
2236.269,7.17,container gets an IP assigned by default
2238.669,7.56,in this case it is 172 dot 17.0 2 but
2243.439,4.92,remember that this is an internal IP and
2246.229,4.921,is only accessible within the docker
2248.359,5.18,host so if you open a browser from
2251.15,6.199,within the docker host you can go to
2253.539,9.4,http colon forward slash forward slash
2257.349,9.281,"172 dot 17 dot 0 dot 1 colon 5,000 to"
2262.939,6.78,access the IP address but since this is
2266.63,5.039,an internal IP users outside of the
2269.719,5.7,docker host cannot access it using this
2271.669,5.85,IP for this we could use the IP of the
2275.419,5.491,docker host which is one ninety two dot
2277.519,6.21,one sixty eight dot 1.5 but for that to
2280.91,5.309,work you must have mapped the port
2283.729,5.94,inside the docker container to a free
2286.219,5.49,port on the docker host for example if I
2289.669,4.32,want the users to access my application
2291.709,6.12,through port 80 on my docker host I
2293.989,6.78,could map port 80 of localhost to port
2297.829,6.15,5000 on the docker container using the
2300.769,7.41,dash P parameter in my run command like
2303.979,7.161,this and so the user can access my
2308.179,6,application by going to the URL HTTP
2311.14,5.949,colon slash slash one ninety two dot one
2314.179,7.05,sixty eight dot one dot five colon 80
2317.089,7.71,and all traffic on port 80 on my daugher
2321.229,7.32,host will get routed to port 5000 inside
2324.799,5.581,the docker container this way you can
2328.549,3.93,run multiple instances of your
2330.38,4.889,application and map them to different
2332.479,5.04,ports on the docker host or run
2335.269,4.71,instances of different applications on
2337.519,5.25,different ports for example in this case
2339.979,5.25,and running an instance of MySQL that
2342.769,5.25,runs a database on my host and listens
2345.229,5.97,on the default MySQL port which happens
2348.019,7.621,to be three 3:06 or another instance of
2351.199,6.451,MySQL on another port eight 3:06 so you
2355.64,4.619,can run as many applications like this
2357.65,5.49,and map them to as many ports as you
2360.259,4.77,want and of course you cannot map to the
2363.14,4.919,same port on the docker host more than
2365.029,4.77,once we will
2368.059,3.15,because more about port mapping and
2369.799,4.29,networking of containers in the
2371.209,5.85,networked lecture later on let's now
2374.089,6.15,look at how data is persisted in a
2377.059,5.88,docker container for example let's say
2380.239,5.04,you were to run a MySQL container when
2382.939,5.701,databases and tables are created the
2385.279,6.651,data files are stored in location /wor
2388.64,5.879,Labe MySQL inside the docker container
2391.93,5.529,remember the docker container has its
2394.519,6.23,own isolated filesystem and any changes
2397.459,6.51,to any files happen within the container
2400.749,5.891,let's assume you dump a lot of data into
2403.969,5.22,the database what happens if you were to
2406.64,5.879,delete the MySQL container and remove it
2409.189,5.971,as soon as you do that the container
2412.519,6.18,along with all the data inside it gets
2415.16,6.779,blown away meaning all your data is gone
2418.699,5.58,if you would like to persist data you
2421.939,4.59,would want to map a directory outside
2424.279,4.891,the container on the docker host to a
2426.529,5.851,directory inside the container in this
2429.17,8.49,case I create a directory called /opt
2432.38,8.609,slash data dir and map that to var Lib
2437.66,5.879,MySQL inside the docker container using
2440.989,4.95,the - V option and specifying the
2443.539,4.68,directory on the door host followed by a
2445.939,3.59,colon and the directory inside the
2448.219,4.47,crocker container
2449.529,5.83,this way when docker container runs it
2452.689,5.28,will implicitly mount the external
2455.359,5.61,directory to a folder inside the docker
2457.969,5.84,container this way all your data will
2460.969,6.75,now be stored in the external volume at
2463.809,6.101,/opt slash data directory and thus will
2467.719,6.03,remain even if you delete the docker
2469.91,5.459,container the docker PS command is good
2473.749,4.921,enough to get basic details about
2475.369,4.89,containers like their names and ID's but
2478.67,4.439,if you would like to see additional
2480.259,5.01,details about a specific container use
2483.109,5.521,the docker inspect command and provide
2485.269,5.91,the container name or ID it returns all
2488.63,5.52,details of a container in a JSON format
2491.179,6.42,such as the state Mounds configuration
2494.15,5.309,data network settings etc remember to
2497.599,4.261,use it when you are required to find
2499.459,4.771,details on a container
2501.86,4.65,finally how do we see the logs of a
2504.23,4.02,container we're on in the background for
2506.51,5.13,example I ran my simple web application
2508.25,6.42,using the - D parameter and it ran the
2511.64,5.1,container in a detached mode how do I
2514.67,4.02,view the logs which happens to be the
2516.74,5.25,contents written to the standard out of
2518.69,5.73,that container use the docker logs
2521.99,6.63,command and specify the container ID or
2524.42,6.24,name like this well that's it for this
2528.62,14.64,lecture head over to the challenges and
2530.66,14.25,practice working with docker commands so
2543.26,5.01,to start with a simple web application
2544.91,5.49,written in Python this piece of code is
2548.27,4.11,used to create a web application that
2550.4,4.56,displays a web page with a background
2552.38,5.04,color if you look closely into the
2554.96,4.41,application code you will see a line
2557.42,5.7,that sets the background color to red
2559.37,5.91,now that works just fine however if you
2563.12,3.99,decide to change the color in the future
2565.28,5.28,you will have to change the application
2567.11,5.7,code it is a best practice to move such
2570.56,4.71,information out of the application code
2572.81,6.15,and into say an environment variable
2575.27,5.67,called app color the next time you run
2578.96,4.35,the application set an environment
2580.94,5.1,variable called app color to a desired
2583.31,5.43,value and the application now has a new
2586.04,5.16,color once your application gets
2588.74,4.92,packaged into a docker image you will
2591.2,4.14,then run it with the docker run command
2593.66,4.5,followed by the name of the image
2595.34,5.58,however if you wish to pass the
2598.16,5.55,environment variable as we did before he
2600.92,5.22,would now use the docker run commands -
2603.71,6.09,II option to set an environment variable
2606.14,5.79,within the container to deploy multiple
2609.8,4.26,containers with different colors he
2611.93,4.5,would run the docker command multiple
2614.06,6.06,times and set a different value for the
2616.43,6.33,environment variable each time so how do
2620.12,5.91,you find the environment variable set on
2622.76,6.03,a container that's already running use
2626.03,4.4,the docker inspect command to inspect
2628.79,4.08,the properties of a running container
2630.43,5.26,under the config section you will find
2632.87,5.19,the list of environment variables
2635.69,4.62,on the container well that's it for this
2638.06,3.94,lecture on configuring environment
2640.31,10.61,variables in docker
2642,11.45,[Music]
2650.92,6.07,hello and welcome to this lecture on
2653.45,5.639,docker images in this lecture we're
2656.99,6.03,going to see how to create your own
2659.089,6.51,image now before that why would you need
2663.02,5.309,to create your own image it could either
2665.599,5.041,be because you cannot find a component
2668.329,4.53,or a service that you want to use as
2670.64,4.979,part of your application on docker hub
2672.859,4.381,already or you and your team decided
2675.619,4.95,that the application you're developing
2677.24,6.72,will be derived for ease of shipping and
2680.569,6.811,deployment in this case I'm going to
2683.96,6.09,containerize an application a simple web
2687.38,6.689,application that I have built using the
2690.05,6.33,Python flask framework first we need to
2694.069,4.711,understand what we our container izing
2696.38,4.77,or what application we are creating an
2698.78,5.01,image for and how the application is
2701.15,4.38,built so start by thinking what you
2703.79,4.38,might do if you want to deploy the
2705.53,4.819,application manually we write down the
2708.17,4.83,steps required in the right order I'm
2710.349,5.081,creating an image for a simple web
2713,5.01,application if I were to set it up
2715.43,5.79,manually I would start with an operating
2718.01,5.579,system like Ubuntu then update the
2721.22,5.01,source repositories using the apt
2723.589,5.371,command then install dependencies using
2726.23,5.58,the apt command then install Python
2728.96,4.59,dependencies using the PIP command then
2731.81,4.95,copy over the source code of my
2733.55,6.24,application to a location like opt and
2736.76,5.67,then finally run the web server using
2739.79,5.34,the flask command now that I have the
2742.43,5.13,instructions create a docker file using
2745.13,5.61,this here's a quick overview of the
2747.56,6.18,process of creating your own image first
2750.74,5.19,create a docker file named docker file
2753.74,5.22,and write down the instructions for
2755.93,5.61,setting up your application in it such
2758.96,5.43,as installing dependencies where to copy
2761.54,5.18,the source code from and to and what the
2764.39,5.1,entry point of the application is etc
2766.72,4.81,once done build your image
2769.49,5.16,using the docker build command and
2771.53,6.3,specify the docker file as input as well
2774.65,5.63,as a tag named for the image this will
2777.83,4.86,create an image locally on your system
2780.28,5.86,to make it available on the public
2782.69,6.45,docker hub registry run the docker push
2786.14,7.05,command and specify the name of the
2789.14,6.99,image you just created in this case the
2793.19,6.78,name of the image is my account name
2796.13,8.37,which is M Amjad followed by the image
2799.97,6.57,name which is my custom app now let's
2804.5,5.04,take a closer look at that docker file
2806.54,4.86,docker file is a text file written in a
2809.54,4.41,specific format that docker can
2811.4,6.12,understand it's in an instruction and
2813.95,6.24,arguments format for example in this
2817.52,6.36,docker file everything on the left in
2820.19,7.02,caps is an instruction in this case from
2823.88,6.39,run copy and entry point are all
2827.21,5.22,instructions each of these instruct
2830.27,5.31,docker to perform a specific action
2832.43,5.28,while creating the image everything on
2835.58,6.03,the right is an argument to those
2837.71,6.93,instructions the first line from Ubuntu
2841.61,6.24,defines what the base OS should be for
2844.64,6.15,this container every docker image must
2847.85,5.58,be based off of another image either an
2850.79,5.46,OS or another image that was created
2853.43,4.95,before based on an OS you can find
2856.25,5.01,official releases of all operating
2858.38,5.64,systems on docker hub it's important to
2861.26,5.34,note that all docker files must start
2864.02,5.25,with a from instruction the run
2866.6,5.46,instruction instructs docker to run a
2869.27,6.15,particular command on those base images
2872.06,5.91,so at this point docker runs the apt-get
2875.42,4.95,update commands to fetch the updated
2877.97,5.7,packages and installs required
2880.37,5.64,dependencies on the image then the copy
2883.67,5.07,instruction copies files from the local
2886.01,4.71,system onto the docker image in this
2888.74,4.23,case the source code of our application
2890.72,4.89,is in the current folder and I will be
2892.97,5.27,copying it over to the location opt
2895.61,6.06,source code inside the docker image and
2898.24,4.69,finally entry point allows us to specify
2901.67,3.78,a command
2902.93,7.05,that will be run when the image is run
2905.45,6.54,as a container when docker builds the
2909.98,4.799,images it builds these in a layered
2911.99,5.309,architecture each line of instruction
2914.779,4.381,creates a new layer in the docker image
2917.299,5.191,with just the changes from the previous
2919.16,7.8,layer for example the first layer is a
2922.49,6.66,base Ubuntu OS followed by the second
2926.96,4.829,instruction that creates a second layer
2929.15,4.62,which installs all the apt packages and
2931.789,3.78,then the third instruction creates a
2933.77,4.38,third layer with the Python packages
2935.569,4.891,followed by the fourth layer that copies
2938.15,4.379,the source code over and the final layer
2940.46,5.339,that updates the entry point of the
2942.529,5.55,image since each layer only stores the
2945.799,4.98,changes from the previous layer it is
2948.079,5.371,reflected in the size as well if you
2950.779,6.75,look at the base opened to image it is
2953.45,7.02,around 120 MB in size the apt packages
2957.529,5.611,that I install is around 300 MB and the
2960.47,4.53,remaining layers are small you could see
2963.14,4.439,this information if you run the docker
2965,9.52,history command followed by the image
2967.579,8.771,name when you run the
2974.52,3.81,Bilka man you could see the various
2976.35,5.19,steps involved and the result of each
2978.33,5.19,task all the layers built are cast
2981.54,4.2,so the layered architecture helps you
2983.52,5.04,restart docker built from that
2985.74,4.77,particular step in case it fails or if
2988.56,4.23,you were to add new steps in the build
2990.51,9.33,process you wouldn't have to start all
2992.79,10.02,over again all the layers built are
2999.84,5.94,cached by docker so in case a particular
3002.81,6.09,step was to fail for example in this
3005.78,6.089,case step three failed and you were to
3008.9,5.58,fix the issue and rerun docker bill it
3011.869,4.891,will reuse the previous layers from
3014.48,5.46,cache and continue to build the
3016.76,5.43,remaining layers the same is true if you
3019.94,5.34,were to add additional steps in the
3022.19,6.21,docker file this way rebuilding your
3025.28,5.4,image is faster and you don't have to
3028.4,5.43,wait for docker to rebuild the entire
3030.68,5.07,image each time this is helpful
3033.83,4.17,especially when you update source code
3035.75,5.25,of your application as it may change
3038,7.31,more frequently only the layers above
3041,4.31,the updated layers needs to be rebuilt
3047.71,6.12,we just saw a number of products
3050.6,6.45,containerized such as databases
3053.83,6.01,development tools operating systems etc
3057.05,4.77,but that's just not it you can
3059.84,4.14,containerized almost all of the
3061.82,4.94,application even simple ones like
3063.98,6.18,browsers or utilities like curl
3066.76,5.62,applications like Spotify Skype etc
3070.16,5.34,basically you can containerize
3072.38,4.86,everything and going forward and see
3075.5,4.859,that's how everyone is going to run
3077.24,4.379,applications nobody is going to install
3080.359,3.871,anything anymore
3081.619,6.061,going forward instead they're just going
3084.23,4.47,to run it using docker and when they
3087.68,3.6,don't need it anymore
3088.7,4.33,get rid of it easily without having to
3091.28,9.24,clean up too much
3093.03,11.4,[Music]
3100.52,6.51,in this lecture we will look at commands
3104.43,5.939,arguments and entry points in docker
3107.03,5.2,let's start with a simple scenario say
3110.369,4.47,you were to run a docker container from
3112.23,5.43,an Ubuntu image when you run the docker
3114.839,6.301,run open to command it runs an instance
3117.66,5.28,of Ubuntu image and exits immediately if
3121.14,3.93,you were to list the running containers
3122.94,4.56,you wouldn't see the container running
3125.07,5.13,if you list all containers including
3127.5,3.63,those that are stopped you will see that
3130.2,4.71,the new container
3131.13,7.709,you ran is in an exited state now why is
3134.91,6.179,that unlike virtual machines containers
3138.839,4.681,are not meant to host an operating
3141.089,6,system containers are meant to run a
3143.52,5.43,specific task or process such as to host
3147.089,4.321,an instance of a web server or
3148.95,4.32,application server or a database or
3151.41,5.669,simply to carry out some kind of
3153.27,6.93,computation or analysis once the task is
3157.079,6.24,complete the container exits a container
3160.2,6.84,only lives as long as the process inside
3163.319,6.54,it is alive if the web service inside
3167.04,5.52,the container is docked or crashes the
3169.859,5.581,container exits so who defines what
3172.56,5.009,process is run within the container if
3175.44,5.07,you look at the docker file for popular
3177.569,5.671,docker images like ng INX you will see
3180.51,5.13,an instruction called CMD which stands
3183.24,4.14,for command that defines the program
3185.64,5.1,that will be run within the container
3187.38,5.91,when it starts for the ng INX image it
3190.74,6.599,is the ng INX command for the MySQL
3193.29,6.27,image it is the MySQL d command what we
3197.339,4.711,tried to do earlier was to run a
3199.56,5.64,container with a plain Ubuntu operating
3202.05,6.24,system let us look at the docker file
3205.2,7.409,for this image you will see that it uses
3208.29,6.84,bash as the default command now bash is
3212.609,5.73,not really a process like a web server
3215.13,6.18,or database server it is a shell that
3218.339,6.451,listens for inputs from a terminal if it
3221.31,6,cannot find a terminal it exits when we
3224.79,4.77,ran the ubuntu container earlier
3227.31,5.76,created a container from the Ubuntu
3229.56,5.82,image and launched the bash program by
3233.07,4.71,default docker does not attach a
3235.38,5.61,terminal to a container when it is run
3237.78,6.99,and so the bash program does not find
3240.99,5.46,the terminal and so it exits since the
3244.77,4.32,process that was started when the
3246.45,6.09,container was created finished the
3249.09,6.24,container exits as well so how do you
3252.54,5.94,specify a different command to start the
3255.33,5.22,container one option is to append a
3258.48,4.8,command to the docker run command and
3260.55,5.13,that way it overrides the default
3263.28,5.67,command specified within the image in
3265.68,5.76,this case I run the docker run Ubuntu
3268.95,5.94,command with the sleep 5 command as the
3271.44,6.48,added option this way when the container
3274.89,6.27,starts it runs the sleep program waits
3277.92,6.06,for 5 seconds and then exits but how do
3281.16,5.04,you make that change permanent say you
3283.98,4.86,want the image to always run the sleep
3286.2,4.86,command when it starts you would then
3288.84,5.36,create your own image from the base
3291.06,5.43,ubuntu image and specify a new command
3294.2,5.29,there are different ways of specifying
3296.49,6.36,the command either the command simply as
3299.49,6.63,is in a shell form or in a JSON array
3302.85,6.57,format like this but remember when you
3306.12,5.49,specify in a JSON array format the first
3309.42,4.71,element in the array should be the
3311.61,5.73,executable in this case the sleep
3314.13,6.33,program do not specify the command and
3317.34,5.58,parameters together like this the
3320.46,5.61,command and its parameters should be
3322.92,5.52,separate elements in the list so I now
3326.07,5.46,build my new image using the docker
3328.44,5.97,build command and name it as Ubuntu
3331.53,5.97,sleeper I could now simply run the
3334.41,6.84,docker ubuntu sleeper command and get
3337.5,7.23,the same results it always sleeps for 5
3341.25,5.81,seconds and exits but what if I wish to
3344.73,4.74,change the number of seconds it sleeps
3347.06,5.83,currently it is hard-coded
3349.47,6,to 5 seconds as we learned before one
3352.89,4.92,option is to run the docker run command
3355.47,4.97,with the new command appended to it in
3357.81,4.039,this case sleep 10
3360.44,4.71,so the command that will be run at
3361.849,5.641,startup will be sleep 10 but it doesn't
3365.15,5.16,look very good the name of the image
3367.49,5.01,ubuntu sleeper in itself implies that
3370.31,4.44,the container will sleep so we shouldn't
3372.5,4.68,have to specify the sleep command again
3374.75,6.56,instead we would like it to be something
3377.18,6.899,like this docker run ubuntu sleeper 10
3381.31,4.84,we only want to pass in the number of
3384.079,4.171,seconds the container should sleep and
3386.15,4.86,sleep command should be invoked
3388.25,5.18,automatically and that is where the
3391.01,5.43,entry point instructions comes into play
3393.43,5.169,the entry point instruction is like the
3396.44,4.379,command instruction as in you can
3398.599,4.891,specify the program that will be run
3400.819,5.311,when the container starts and whatever
3403.49,5.609,you specify on the command line in this
3406.13,5.64,case 10 will get appended to the entry
3409.099,6.691,point so the command that will be run
3411.77,6.059,when the container starts is sleep 10 so
3415.79,5.279,that's the difference between the two in
3417.829,5.76,case of the CMD instruction the command
3421.069,5.671,line parameters passed will get replaced
3423.589,5.551,entirely whereas in case of entry point
3426.74,6.03,the command line parameters will get
3429.14,6.12,appended now in the second case what if
3432.77,4.94,I run the ubuntu sleeper image command
3435.26,6.51,without appending the number of seconds
3437.71,6.79,then the command at startup will be just
3441.77,5.339,sleep and you get the error that the
3444.5,4.95,operand is missing so how do you
3447.109,5.401,configure a default value for the
3449.45,5.46,command if one was not specified in the
3452.51,5.04,command line that's where you would use
3454.91,5.34,both entry point as well as the command
3457.55,5.1,instruction in this case the command
3460.25,5.22,instruction will be appended to the
3462.65,5.34,entry point instruction so at startup
3465.47,4.56,the command would be sleep 5 if you
3467.99,4.95,didn't specify any parameters in the
3470.03,4.95,command line if you did then that will
3472.94,4.62,override the command instruction and
3474.98,4.98,remember for this to happen you should
3477.56,5.9,always specify the entry point and
3479.96,6.84,command instructions in a JSON format
3483.46,6.21,finally what if you freely really want
3486.8,7.8,to modify the entry point during runtime
3489.67,8.11,say from sleep to an imaginary sleep 2.0
3494.6,6.06,well in that case you can override it by
3497.78,5.76,using the entry point option in the
3500.66,8.16,docker run command the final command at
3503.54,7.8,startup would then be sleep 2.0 10 well
3508.82,13.88,that's it for this lecture and I will
3511.34,14.67,see you in the next we now look at
3522.7,5.8,networking in docker when you install
3526.01,7.44,docker it creates three networks
3528.5,7.53,automatically bridge no and host bridge
3533.45,4.83,is the default network a container gets
3536.03,4.92,attached to if you would like to
3538.28,4.92,associate the container with any other
3540.95,4.8,network you specify the network
3543.2,6.21,information using the network command
3545.75,7.17,line parameter like this we will now
3549.41,6.78,look at each of these networks the BRIT
3552.92,6.21,network is a private internal network
3556.19,5.52,created by docker on the host all
3559.13,4.98,containers attached to this network by
3561.71,6.12,default and they get an internal IP
3564.11,6.93,address usually in the range 170 2.17
3567.83,6.53,series the containers can access each
3571.04,6.21,other using this internal IP if required
3574.36,6.34,to access any of these containers from
3577.25,6.06,the outside world map the ports of these
3580.7,6.45,containers to ports on the docker host
3583.31,6.45,as we have seen before another way to
3587.15,4.5,access the containers externally is to
3589.76,4.98,associate the container to the hosts
3591.65,5.25,network this takes out any network
3594.74,4.62,isolation between the docker host and
3596.9,5.37,the docker container meaning if you were
3599.36,5.25,"to run a web server on port 5,000 in a"
3602.27,5.34,web app container it is automatically as
3604.61,5.55,accessible on the same port externally
3607.61,5.75,without requiring any port mapping as
3610.16,6.36,the web container uses the hosts network
3613.36,6.43,this would also mean that unlike before
3616.52,5.91,you will now not be able to run multiple
3619.79,5.79,web containers on the same host on the
3622.43,5.169,same port as the ports are now common to
3625.58,6.61,all containers in the hole
3627.599,7.2,network with the non network the
3632.19,5.309,containers are not attached to any
3634.799,5.78,network and doesn't have any access to
3637.499,8.85,the external network or other containers
3640.579,8.98,they run in an isolated Network so we
3646.349,7.351,just saw the default burst network with
3649.559,6.18,the network ID 170 2.72 0.1 so all
3653.7,4.409,containers associated to this default
3655.739,4.83,network will be able to communicate to
3658.109,4.65,each other but what if we wish to
3660.569,5.071,isolate the containers within the docker
3662.759,5.82,host for example the first two web
3665.64,5.429,containers on internal network 172 and
3668.579,6.841,the second two containers on a different
3671.069,7.68,internal network like 182 by default
3675.42,6.359,docker only creates one internal bridge
3678.749,5.911,network we could create our own internal
3681.779,5.22,network using the command docker network
3684.66,4.98,create and specified the driver which is
3686.999,4.29,bridge in this case and the subnet for
3689.64,4.679,that network followed by the custom
3691.289,6.44,isolated network name run the docker
3694.319,6.121,network LS command to list all networks
3697.729,4.81,so how do we see the network settings
3700.44,5.01,and the IP address assigned to an
3702.539,5.76,existing container run the docker
3705.45,4.649,inspect command with the ID or name of
3708.299,5.22,the container and you will find a
3710.099,5.16,section on network settings there you
3713.519,4.26,can see the type of network the
3715.259,7.161,container is attached to is internal IP
3717.779,4.641,address MAC address and other settings
3723.349,5.17,containers can reach each other using
3725.91,5.22,their names for example in this case I
3728.519,5.85,have a webserver and a MySQL database
3731.13,5.639,container running on the same node how
3734.369,5.25,can I get my web server to access the
3736.769,5.191,database on the database container one
3739.619,5.041,thing I could do is to use the internal
3741.96,7.799,IP address signed to the MySQL container
3744.66,7.26,which in this case is 170 2.72 0.3 but
3749.759,4.8,that is not very ideal because it is not
3751.92,6.419,guaranteed that the container will get
3754.559,4.281,the same IP when the system reboots the
3758.339,2.841,right
3758.84,5.67,way to do it is to use the container
3761.18,4.53,name all containers in a docker host can
3764.51,4.02,resolve each other
3765.71,5.97,with the name of the container docker
3768.53,5.85,has a built-in DNS server that helps the
3771.68,3.98,containers to resolve each other using
3774.38,4.29,the container name
3775.66,7.77,note that the built in DNS server always
3778.67,9.05,runs at address 127 dot 0 dot 0 dot 11
3783.43,7.09,so how does docker implement networking
3787.72,5.05,what's the technology behind it like how
3790.52,6.84,are the containers isolated within the
3792.77,7.38,host docker uses network namespaces that
3797.36,5.97,creates a separate name space for each
3800.15,6.95,container it then uses virtual Ethernet
3803.33,6.87,pairs to connect containers together
3807.1,5.8,well that's all we can talk about it for
3810.2,4.8,now more about these or advanced
3812.9,5.84,concepts that we discussed in the
3815,6.63,advanced course on docker on code cloud
3818.74,5.02,that's all for now from this lecture on
3821.63,3.8,networking head over to the practice
3823.76,5.1,tests and practice working with
3825.43,4.77,networking in docker I will see you in
3828.86,9.489,the next lecture
3830.2,10.95,[Music]
3838.349,5.71,hello and welcome to this lecture and we
3841.15,4.5,are learning advanced docker concepts in
3844.059,4.43,this lecture we're going to talk about
3845.65,6,docker storage drivers and file systems
3848.489,5.83,we're going to see where and how docker
3851.65,6.27,stores data and how it manages file
3854.319,6.42,systems of the containers let us start
3857.92,6.419,with how docker stores data on the local
3860.739,6.33,file system when you install docker on a
3864.339,6.96,system it creates this folder structure
3867.069,7.321,at where lib docker you have multiple
3871.299,6.66,folders under it called a ufs containers
3874.39,6.719,image volumes etc this is where docker
3877.959,4.05,stores all its data by default when I
3881.109,3.51,say data
3882.009,4.7,I mean files related to images and
3884.619,5.37,containers running on the docker host
3886.709,5.11,for example all files related to
3889.989,4.29,containers are stored under the
3891.819,4.621,containers folder and the files related
3894.279,5.01,to images are stored under the image
3896.44,4.919,folder any volumes created by the docker
3899.289,4.44,containers are created under the volumes
3901.359,4.791,folder well don't worry about that for
3903.729,5.52,now we will come back to that in a bit
3906.15,6.099,for now let's just understand where
3909.249,7.05,docker stores its files and in what
3912.249,7.08,format so how exactly does docker store
3916.299,4.98,the files of an image and a container to
3919.329,5.341,understand that we need to understand
3921.279,5.401,Dockers layered architecture let's
3924.67,4.859,quickly recap something we learned when
3926.68,5.76,docker builds images it builds these in
3929.529,5.881,a layered architecture each line of
3932.44,5.789,instruction in the docker file creates a
3935.41,5.429,new layer in the docker image with just
3938.229,5.58,the changes from the previous layer for
3940.839,5.67,example the first layer is a base Ubuntu
3943.809,5.01,operating system followed by the second
3946.509,5.401,instruction that creates a second layer
3948.819,5.341,which installs all the apt packages and
3951.91,4.829,then the third instruction creates a
3954.16,4.919,third layer which with the Python
3956.739,4.59,packages followed by the fourth layer
3959.079,4.77,that copies the source code over and
3961.329,6.71,then finally the fifth layer that
3963.849,4.19,updates the entry point of the image
3968.57,5.73,each layer only stores the changes from
